detector,nfeatures,ratio,ransac_thresh,RMSE,MAE,Bias,P95,N,N_in,Coverage,akaze_thresh,nOctaveLayers,contrastThreshold,edgeThreshold,sigma
AKAZE,,0.7,0.5,0.03614109533310209,0.018925430244461607,0.0019928714762074695,0.06344491829513516,117420,117418,0.5599136779441871,0.0008,,,,
AKAZE,,0.7,1.0,0.03614109533310209,0.018925430244461607,0.0019928714762074695,0.06344491829513516,117420,117418,0.5599136779441871,0.0008,,,,
AKAZE,,0.7,0.5,0.03742451716830291,0.019422308367907936,0.0018392321328602821,0.06549685443551397,55738,55738,0.5559529819044182,0.0015,,,,
AKAZE,,0.7,1.0,0.03742451716830291,0.019422308367907936,0.0018392321328602821,0.06549685443551397,55738,55738,0.5559529819044182,0.0015,,,,
SIFT,3000.0,0.7,0.5,0.03914688251583623,0.017435374959971797,-0.0009178421906253455,0.05672045906221701,74068,74062,0.5855039215281329,,3.0,0.04,10.0,1.6
SIFT,3000.0,0.7,1.0,0.03914688251583623,0.017435374959971797,-0.0009178421906253455,0.05672045906221701,74068,74062,0.5855039215281329,,3.0,0.04,10.0,1.6
SIFT,3000.0,0.7,0.5,0.039146882515836236,0.017435374959971797,-0.0009178421906253452,0.05672045906221701,74068,74062,0.5855039215281329,,3.0,0.02,10.0,1.6
SIFT,3000.0,0.7,1.0,0.039146882515836236,0.017435374959971797,-0.0009178421906253452,0.05672045906221701,74068,74062,0.5855039215281329,,3.0,0.02,10.0,1.6
AKAZE,,0.8,0.5,0.04134309536613869,0.020219794191718297,0.0018768876607088885,0.06911922888568034,123790,123788,0.573779649442494,0.0008,,,,
AKAZE,,0.8,1.0,0.04134309536613869,0.020219794191718297,0.0018768876607088885,0.06911922888568034,123790,123788,0.573779649442494,0.0008,,,,
ORB,5000.0,0.7,0.5,0.04161260121525747,0.026703195891201077,-0.00016578254810673885,0.07909058537091286,110029,110028,0.5170929204351926,,,,,
ORB,5000.0,0.7,1.0,0.04161260121525747,0.026703195891201077,-0.00016578254810673885,0.07909058537091286,110029,110028,0.5170929204351926,,,,,
ORB,5000.0,0.7,1.5,0.04161260121525747,0.026703195891201077,-0.00016578254810673885,0.07909058537091286,110029,110028,0.5170929204351926,,,,,
SIFT,3000.0,0.75,0.5,0.042546218537825205,0.01801326871364158,-0.0011134185372264572,0.05901139279169508,76194,76187,0.5855039215281329,,3.0,0.02,10.0,1.6
SIFT,3000.0,0.75,1.0,0.042546218537825205,0.01801326871364158,-0.0011134185372264572,0.05901139279169508,76194,76187,0.5855039215281329,,3.0,0.02,10.0,1.6
SIFT,3000.0,0.75,0.5,0.042546218537825205,0.018013268713641582,-0.0011134185372264575,0.05901139279169508,76194,76187,0.5855039215281329,,3.0,0.04,10.0,1.6
SIFT,3000.0,0.75,1.0,0.042546218537825205,0.018013268713641582,-0.0011134185372264575,0.05901139279169508,76194,76187,0.5855039215281329,,3.0,0.04,10.0,1.6
ORB,3000.0,0.7,0.5,0.042654348220820995,0.027243760467502407,-0.0009893056410536837,0.08194924080724932,65618,65618,0.5004191511537318,,,,,
ORB,3000.0,0.7,1.0,0.042654348220820995,0.027243760467502407,-0.0009893056410536837,0.08194924080724932,65618,65618,0.5004191511537318,,,,,
ORB,3000.0,0.7,1.5,0.042654348220820995,0.027243760467502407,-0.0009893056410536837,0.08194924080724932,65618,65618,0.5004191511537318,,,,,
SIFT,800.0,0.7,0.5,0.04267689230213441,0.019064406057328325,-0.002928349781716162,0.0665986494807061,19072,19067,0.5168722581540882,,3.0,0.04,10.0,1.6
SIFT,800.0,0.7,1.0,0.04267689230213441,0.019064406057328325,-0.002928349781716162,0.0665986494807061,19072,19067,0.5168722581540882,,3.0,0.04,10.0,1.6
SIFT,800.0,0.7,0.5,0.04267689230213441,0.019064406057328325,-0.0029283497817161625,0.0665986494807061,19072,19067,0.5168722581540882,,3.0,0.02,10.0,1.6
SIFT,800.0,0.7,1.0,0.04267689230213441,0.019064406057328325,-0.0029283497817161625,0.0665986494807061,19072,19067,0.5168722581540882,,3.0,0.02,10.0,1.6
